Grid Size ,64
 NULL, NodeType, GridX, GridY, Length, Width, Height, PosX, PosY, PosZ
0,0,4,0,1.1463661194,1.1463661194,0,-31.5250797272,-36.1105365753,0
0,1,3,1,1.1463661194,1.1463661194,0,-32.6714420319,-34.9641704559,0
0,1,3,0,1.1463661193,1.1463661194,0,-32.6714458466,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,5,0,1.1463661194,1.1463661194,0,-30.3787136078,-36.1105365753,0
0,1,5,1,1.1463661194,1.1463661194,0,-30.3787136078,-34.9641704559,0
0,1,4,1,1.1463623047,1.1463661194,0,-31.5250778199,-34.9641704559,0
0,0,5,0,1.1463661194,1.1463661194,0,-30.3787136078,-36.1105365753,0
0,1,4,1,1.1463623047,1.1463661194,0,-31.5250778199,-34.9641704559,0
0,1,4,0,1.1463661194,1.1463661194,0,-31.5250797272,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,6,0,1.1463680267,1.1463661194,0,-29.2323465348,-36.1105365753,0
0,1,6,1,1.1463680267,1.1463661194,0,-29.2323465348,-34.9641704559,0
0,1,5,1,1.1463661194,1.1463661194,0,-30.3787136078,-34.9641704559,0
0,0,6,0,1.1463680267,1.1463661194,0,-29.2323465348,-36.1105365753,0
0,1,5,1,1.1463661194,1.1463661194,0,-30.3787136078,-34.9641704559,0
0,1,5,0,1.1463661194,1.1463661194,0,-30.3787136078,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,7,0,1.1463661194,1.1463661194,0,-28.0859794617,-36.1105365753,0
0,1,7,1,1.1463661194,1.1463661194,0,-28.0859794617,-34.9641704559,0
0,1,6,1,1.1463680267,1.1463661194,0,-29.2323465348,-34.9641704559,0
0,0,7,0,1.1463661194,1.1463661194,0,-28.0859794617,-36.1105365753,0
0,1,6,1,1.1463680267,1.1463661194,0,-29.2323465348,-34.9641704559,0
0,1,6,0,1.1463680267,1.1463661194,0,-29.2323465348,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,8,0,1.1463661194,1.1463661194,0,-26.9396133423,-36.1105365753,0
0,1,8,1,1.1463661194,1.1463661194,0,-26.9396133423,-34.9641704559,0
0,1,7,1,1.1463661194,1.1463661194,0,-28.0859794617,-34.9641704559,0
0,0,8,0,1.1463661194,1.1463661194,0,-26.9396133423,-36.1105365753,0
0,1,7,1,1.1463661194,1.1463661194,0,-28.0859794617,-34.9641704559,0
0,1,7,0,1.1463661194,1.1463661194,0,-28.0859794617,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,9,0,1.1463661194,1.1463661194,0,-25.7932472229,-36.1105365753,0
0,1,9,1,1.1463661194,1.1463661194,0,-25.7932472229,-34.9641704559,0
0,1,8,1,1.1463661194,1.1463661194,0,-26.9396133423,-34.9641704559,0
0,0,9,0,1.1463661194,1.1463661194,0,-25.7932472229,-36.1105365753,0
0,1,8,1,1.1463661194,1.1463661194,0,-26.9396133423,-34.9641704559,0
0,1,8,0,1.1463661194,1.1463661194,0,-26.9396133423,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,10,0,1.1463661194,1.1463661194,0,-24.6468811035,-36.1105365753,0
0,1,10,1,1.1463661194,1.1463661194,0,-24.6468811035,-34.9641704559,0
0,1,9,1,1.1463661194,1.1463661194,0,-25.7932472229,-34.9641704559,0
0,0,10,0,1.1463661194,1.1463661194,0,-24.6468811035,-36.1105365753,0
0,1,9,1,1.1463661194,1.1463661194,0,-25.7932472229,-34.9641704559,0
0,1,9,0,1.1463661194,1.1463661194,0,-25.7932472229,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,11,0,1.1463661194,1.1463661194,0,-23.5005149841,-36.1105365753,0
0,1,11,1,1.1463680267,1.1463661194,0,-23.5005140304,-34.9641704559,0
0,1,10,1,1.1463661194,1.1463661194,0,-24.6468811035,-34.9641704559,0
0,0,11,0,1.1463661194,1.1463661194,0,-23.5005149841,-36.1105365753,0
0,1,10,1,1.1463661194,1.1463661194,0,-24.6468811035,-34.9641704559,0
0,1,10,0,1.1463661194,1.1463661194,0,-24.6468811035,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,12,0,1.1463661193,1.1463661194,0,-22.3541488648,-36.1105365753,0
0,1,12,1,1.1463699341,1.1463661194,0,-22.3541450501,-34.9641704559,0
0,1,11,1,1.1463680267,1.1463661194,0,-23.5005140304,-34.9641704559,0
0,0,12,0,1.1463661193,1.1463661194,0,-22.3541488648,-36.1105365753,0
0,1,11,1,1.1463680267,1.1463661194,0,-23.5005140304,-34.9641704559,0
0,1,11,0,1.1463661194,1.1463661194,0,-23.5005149841,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,13,0,1.1463699341,1.1463661194,0,-21.207780838,-36.1105365753,0
0,1,13,1,1.1463661194,1.1463661194,0,-21.2077770233,-34.9641704559,0
0,1,12,1,1.1463699341,1.1463661194,0,-22.3541450501,-34.9641704559,0
0,0,13,0,1.1463699341,1.1463661194,0,-21.207780838,-36.1105365753,0
0,1,12,1,1.1463699341,1.1463661194,0,-22.3541450501,-34.9641704559,0
0,1,12,0,1.1463661193,1.1463661194,0,-22.3541488648,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,13,1,1.1463661194,1.1463661194,0,-21.2077770233,-34.9641704559,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,17,0,1.1463661194,1.1463661194,0,-16.6223125458,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,18,0,1.1463642121,1.1463661194,0,-15.47594738,-36.1105365753,0
0,1,18,1,1.1463670731,1.1463661194,0,-15.4759459495,-34.9641704559,0
0,1,17,1,1.1463661194,1.1463661194,0,-16.6223125458,-34.9641704559,0
0,0,18,0,1.1463642121,1.1463661194,0,-15.47594738,-36.1105365753,0
0,1,17,1,1.1463661194,1.1463661194,0,-16.6223125458,-34.9641704559,0
0,1,17,0,1.1463661194,1.1463661194,0,-16.6223125458,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,19,0,1.146367073,1.1463661194,0,-14.3295817375,-36.1105365753,0
0,1,19,1,1.1463651657,1.1463661194,0,-14.3295798302,-34.9641704559,0
0,1,18,1,1.1463670731,1.1463661194,0,-15.4759459495,-34.9641704559,0
0,0,19,0,1.146367073,1.1463661194,0,-14.3295817375,-36.1105365753,0
0,1,18,1,1.1463670731,1.1463661194,0,-15.4759459495,-34.9641704559,0
0,1,18,0,1.1463642121,1.1463661194,0,-15.47594738,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,20,0,1.1463661194,1.1463661194,0,-13.1832151413,-36.1105365753,0
0,1,20,1,1.146367073,1.1463661194,0,-13.1832137108,-34.9641704559,0
0,1,19,1,1.1463651657,1.1463661194,0,-14.3295798302,-34.9641704559,0
0,0,20,0,1.1463661194,1.1463661194,0,-13.1832151413,-36.1105365753,0
0,1,19,1,1.1463651657,1.1463661194,0,-14.3295798302,-34.9641704559,0
0,1,19,0,1.146367073,1.1463661194,0,-14.3295817375,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,21,0,1.1463670731,1.1463661194,0,-12.0368485451,-36.1105365753,0
0,1,21,1,1.1463670731,1.1463661194,0,-12.0368466377,-34.9641704559,0
0,1,20,1,1.146367073,1.1463661194,0,-13.1832137108,-34.9641704559,0
0,0,21,0,1.1463670731,1.1463661194,0,-12.0368485451,-36.1105365753,0
0,1,20,1,1.146367073,1.1463661194,0,-13.1832137108,-34.9641704559,0
0,1,20,0,1.1463661194,1.1463661194,0,-13.1832151413,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,22,0,1.1463680267,1.1463661194,0,-10.8904809951,-36.1105365753,0
0,1,22,1,1.1463661194,1.1463661194,0,-10.8904800415,-34.9641704559,0
0,1,21,1,1.1463670731,1.1463661194,0,-12.0368466377,-34.9641704559,0
0,0,22,0,1.1463680267,1.1463661194,0,-10.8904809951,-36.1105365753,0
0,1,21,1,1.1463670731,1.1463661194,0,-12.0368466377,-34.9641704559,0
0,1,21,0,1.1463670731,1.1463661194,0,-12.0368485451,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,23,0,1.14636611937,1.1463661194,0,-9.74411392211,-36.1105365753,0
0,1,23,1,1.14636611937,1.1463661194,0,-9.74411392211,-34.9641704559,0
0,1,22,1,1.1463661194,1.1463661194,0,-10.8904800415,-34.9641704559,0
0,0,23,0,1.14636611937,1.1463661194,0,-9.74411392211,-36.1105365753,0
0,1,22,1,1.1463661194,1.1463661194,0,-10.8904800415,-34.9641704559,0
0,1,22,0,1.1463680267,1.1463661194,0,-10.8904809951,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,24,0,1.14636611939,1.1463661194,0,-8.59774780274,-36.1105365753,0
0,1,24,1,1.14636611939,1.1463661194,0,-8.59774780274,-34.9641704559,0
0,1,23,1,1.14636611937,1.1463661194,0,-9.74411392211,-34.9641704559,0
0,0,24,0,1.14636611939,1.1463661194,0,-8.59774780274,-36.1105365753,0
0,1,23,1,1.14636611937,1.1463661194,0,-9.74411392211,-34.9641704559,0
0,1,23,0,1.14636611937,1.1463661194,0,-9.74411392211,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,25,0,1.14636611938,1.1463661194,0,-7.45138168335,-36.1105365753,0
0,1,25,1,1.14636659622,1.1463661194,0,-7.45138144493,-34.9641704559,0
0,1,24,1,1.14636611939,1.1463661194,0,-8.59774780274,-34.9641704559,0
0,0,25,0,1.14636611938,1.1463661194,0,-7.45138168335,-36.1105365753,0
0,1,24,1,1.14636611939,1.1463661194,0,-8.59774780274,-34.9641704559,0
0,1,24,0,1.14636611939,1.1463661194,0,-8.59774780274,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,26,0,1.14636707306,1.1463661194,0,-6.30501508713,-36.1105365753,0
0,1,26,1,1.14636659622,1.1463661194,0,-6.30501484871,-34.9641704559,0
0,1,25,1,1.14636659622,1.1463661194,0,-7.45138144493,-34.9641704559,0
0,0,26,0,1.14636707306,1.1463661194,0,-6.30501508713,-36.1105365753,0
0,1,25,1,1.14636659622,1.1463661194,0,-7.45138144493,-34.9641704559,0
0,1,25,0,1.14636611938,1.1463661194,0,-7.45138168335,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,27,0,1.14636611939,1.1463661194,0,-5.1586484909,-36.1105365753,0
0,1,27,1,1.14636611939,1.1463661194,0,-5.1586484909,-34.9641704559,0
0,1,26,1,1.14636659622,1.1463661194,0,-6.30501484871,-34.9641704559,0
0,0,27,0,1.14636611939,1.1463661194,0,-5.1586484909,-36.1105365753,0
0,1,26,1,1.14636659622,1.1463661194,0,-6.30501484871,-34.9641704559,0
0,1,26,0,1.14636707306,1.1463661194,0,-6.30501508713,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,28,0,1.1463663578,1.1463661194,0,-4.01228225231,-36.1105365753,0
0,1,28,1,1.1463663578,1.1463661194,0,-4.01228225231,-34.9641704559,0
0,1,27,1,1.14636611939,1.1463661194,0,-5.1586484909,-34.9641704559,0
0,0,28,0,1.1463663578,1.1463661194,0,-4.01228225231,-36.1105365753,0
0,1,27,1,1.14636611939,1.1463661194,0,-5.1586484909,-34.9641704559,0
0,1,27,0,1.14636611939,1.1463661194,0,-5.1586484909,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,29,0,1.1463663578,1.1463661194,0,-2.86591589451,-36.1105365753,0
0,1,29,1,1.14636659622,1.1463661194,0,-2.8659157753,-34.9641704559,0
0,1,28,1,1.1463663578,1.1463661194,0,-4.01228225231,-34.9641704559,0
0,0,29,0,1.1463663578,1.1463661194,0,-2.86591589451,-36.1105365753,0
0,1,28,1,1.1463663578,1.1463661194,0,-4.01228225231,-34.9641704559,0
0,1,28,0,1.1463663578,1.1463661194,0,-4.01228225231,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,30,0,1.14636647702,1.1463661194,0,-1.7195494771,-36.1105365753,0
0,1,30,1,1.1463662386,1.1463661194,0,-1.71954935789,-34.9641704559,0
0,1,29,1,1.14636659622,1.1463661194,0,-2.8659157753,-34.9641704559,0
0,0,30,0,1.14636647702,1.1463661194,0,-1.7195494771,-36.1105365753,0
0,1,29,1,1.14636659622,1.1463661194,0,-2.8659157753,-34.9641704559,0
0,1,29,0,1.1463663578,1.1463661194,0,-2.86591589451,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,31,0,1.14636624495,1.1463661194,0,-0.573183116113,-36.1105365753,0
0,1,31,1,1.14636624343,1.1463661194,0,-0.573183116876,-34.9641704559,0
0,1,30,1,1.1463662386,1.1463661194,0,-1.71954935789,-34.9641704559,0
0,0,31,0,1.14636624495,1.1463661194,0,-0.573183116113,-36.1105365753,0
0,1,30,1,1.1463662386,1.1463661194,0,-1.71954935789,-34.9641704559,0
0,1,30,0,1.14636647702,1.1463661194,0,-1.7195494771,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,32,0,1.14636635144,1.1463661194,0,0.573183182082,-36.1105365753,0
0,1,32,1,1.14636635296,1.1463661194,0,0.573183181319,-34.9641704559,0
0,1,31,1,1.14636624343,1.1463661194,0,-0.573183116876,-34.9641704559,0
0,0,32,0,1.14636635144,1.1463661194,0,0.573183182082,-36.1105365753,0
0,1,31,1,1.14636624343,1.1463661194,0,-0.573183116876,-34.9641704559,0
0,1,31,0,1.14636624495,1.1463661194,0,-0.573183116113,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,33,0,1.14636635781,1.1463661194,0,1.7195495367,-36.1105365753,0
0,1,33,1,1.14636635781,1.1463661194,0,1.7195495367,-34.9641704559,0
0,1,32,1,1.14636635296,1.1463661194,0,0.573183181319,-34.9641704559,0
0,0,33,0,1.14636635781,1.1463661194,0,1.7195495367,-36.1105365753,0
0,1,32,1,1.14636635296,1.1463661194,0,0.573183181319,-34.9641704559,0
0,1,32,0,1.14636635144,1.1463661194,0,0.573183182082,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,34,0,1.1463663578,1.1463661194,0,2.86591589451,-36.1105365753,0
0,1,34,1,1.1463663578,1.1463661194,0,2.86591589451,-34.9641704559,0
0,1,33,1,1.14636635781,1.1463661194,0,1.7195495367,-34.9641704559,0
0,0,34,0,1.1463663578,1.1463661194,0,2.86591589451,-36.1105365753,0
0,1,33,1,1.14636635781,1.1463661194,0,1.7195495367,-34.9641704559,0
0,1,33,0,1.14636635781,1.1463661194,0,1.7195495367,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,35,0,1.1463663578,1.1463661194,0,4.01228225231,-36.1105365753,0
0,1,35,1,1.1463663578,1.1463661194,0,4.01228225231,-34.9641704559,0
0,1,34,1,1.1463663578,1.1463661194,0,2.86591589451,-34.9641704559,0
0,0,35,0,1.1463663578,1.1463661194,0,4.01228225231,-36.1105365753,0
0,1,34,1,1.1463663578,1.1463661194,0,2.86591589451,-34.9641704559,0
0,1,34,0,1.1463663578,1.1463661194,0,2.86591589451,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,36,0,1.14636611939,1.1463661194,0,5.1586484909,-36.1105365753,0
0,1,36,1,1.14636611939,1.1463661194,0,5.1586484909,-34.9641704559,0
0,1,35,1,1.1463663578,1.1463661194,0,4.01228225231,-34.9641704559,0
0,0,36,0,1.14636611939,1.1463661194,0,5.1586484909,-36.1105365753,0
0,1,35,1,1.1463663578,1.1463661194,0,4.01228225231,-34.9641704559,0
0,1,35,0,1.1463663578,1.1463661194,0,4.01228225231,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,36,1,1.14636611939,1.1463661194,0,5.1586484909,-34.9641704559,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,40,0,1.14636611937,1.1463661194,0,9.74411392211,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,41,0,1.1463661194,1.1463661194,0,10.8904800415,-36.1105365753,0
0,1,41,1,1.1463661194,1.1463661194,0,10.8904800415,-34.9641704559,0
0,1,40,1,1.14636611937,1.1463661194,0,9.74411392211,-34.9641704559,0
0,0,41,0,1.1463661194,1.1463661194,0,10.8904800415,-36.1105365753,0
0,1,40,1,1.14636611937,1.1463661194,0,9.74411392211,-34.9641704559,0
0,1,40,0,1.14636611937,1.1463661194,0,9.74411392211,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,42,0,1.1463670731,1.1463661194,0,12.0368466377,-36.1105365753,0
0,1,42,1,1.1463670731,1.1463661194,0,12.0368466377,-34.9641704559,0
0,1,41,1,1.1463661194,1.1463661194,0,10.8904800415,-34.9641704559,0
0,0,42,0,1.1463670731,1.1463661194,0,12.0368466377,-36.1105365753,0
0,1,41,1,1.1463661194,1.1463661194,0,10.8904800415,-34.9641704559,0
0,1,41,0,1.1463661194,1.1463661194,0,10.8904800415,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,43,0,1.1463661193,1.1463661194,0,13.183213234,-36.1105365753,0
0,1,43,1,1.1463661193,1.1463661194,0,13.183213234,-34.9641704559,0
0,1,42,1,1.1463670731,1.1463661194,0,12.0368466377,-34.9641704559,0
0,0,43,0,1.1463661193,1.1463661194,0,13.183213234,-36.1105365753,0
0,1,42,1,1.1463670731,1.1463661194,0,12.0368466377,-34.9641704559,0
0,1,42,0,1.1463670731,1.1463661194,0,12.0368466377,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,44,0,1.1463661194,1.1463661194,0,14.3295793533,-36.1105365753,0
0,1,44,1,1.1463661194,1.1463661194,0,14.3295793533,-34.9641704559,0
0,1,43,1,1.1463661193,1.1463661194,0,13.183213234,-34.9641704559,0
0,0,44,0,1.1463661194,1.1463661194,0,14.3295793533,-36.1105365753,0
0,1,43,1,1.1463661193,1.1463661194,0,13.183213234,-34.9641704559,0
0,1,43,0,1.1463661193,1.1463661194,0,13.183213234,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,45,0,1.1463670731,1.1463661194,0,15.4759459495,-36.1105365753,0
0,1,45,1,1.1463670731,1.1463661194,0,15.4759459495,-34.9641704559,0
0,1,44,1,1.1463661194,1.1463661194,0,14.3295793533,-34.9641704559,0
0,0,45,0,1.1463670731,1.1463661194,0,15.4759459495,-36.1105365753,0
0,1,44,1,1.1463661194,1.1463661194,0,14.3295793533,-34.9641704559,0
0,1,44,0,1.1463661194,1.1463661194,0,14.3295793533,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,46,0,1.1463661194,1.1463661194,0,16.6223125458,-36.1105365753,0
0,1,46,1,1.1463661194,1.1463661194,0,16.6223125458,-34.9641704559,0
0,1,45,1,1.1463670731,1.1463661194,0,15.4759459495,-34.9641704559,0
0,0,46,0,1.1463661194,1.1463661194,0,16.6223125458,-36.1105365753,0
0,1,45,1,1.1463670731,1.1463661194,0,15.4759459495,-34.9641704559,0
0,1,45,0,1.1463670731,1.1463661194,0,15.4759459495,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,47,0,1.1463661194,1.1463661194,0,17.7686786652,-36.1105365753,0
0,1,47,1,1.1463661194,1.1463661194,0,17.7686786652,-34.9641704559,0
0,1,46,1,1.1463661194,1.1463661194,0,16.6223125458,-34.9641704559,0
0,0,47,0,1.1463661194,1.1463661194,0,17.7686786652,-36.1105365753,0
0,1,46,1,1.1463661194,1.1463661194,0,16.6223125458,-34.9641704559,0
0,1,46,0,1.1463661194,1.1463661194,0,16.6223125458,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,48,0,1.1463661193,1.1463661194,0,18.9150447845,-36.11054039,0
0,1,48,1,1.1463661193,1.1463661194,0,18.9150447845,-34.9641742706,0
0,1,47,1,1.1463661194,1.1463661194,0,17.7686786652,-34.9641704559,0
0,0,48,0,1.1463661193,1.1463661194,0,18.9150447845,-36.11054039,0
0,1,47,1,1.1463661194,1.1463661194,0,17.7686786652,-34.9641704559,0
0,1,47,0,1.1463661194,1.1463661194,0,17.7686786652,-36.1105365753,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,49,0,1.1463661194,1.1463661194,0,20.0614109039,-36.11054039,0
0,1,49,1,1.1463661194,1.1463661194,0,20.0614109039,-34.9641742706,0
0,1,48,1,1.1463661193,1.1463661194,0,18.9150447845,-34.9641742706,0
0,0,49,0,1.1463661194,1.1463661194,0,20.0614109039,-36.11054039,0
0,1,48,1,1.1463661193,1.1463661194,0,18.9150447845,-34.9641742706,0
0,1,48,0,1.1463661193,1.1463661194,0,18.9150447845,-36.11054039,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,50,0,1.1463661194,1.1463661194,0,21.2077770233,-36.11054039,0
0,1,50,1,1.1463661194,1.1463661194,0,21.2077770233,-34.9641742706,0
0,1,49,1,1.1463661194,1.1463661194,0,20.0614109039,-34.9641742706,0
0,0,50,0,1.1463661194,1.1463661194,0,21.2077770233,-36.11054039,0
0,1,49,1,1.1463661194,1.1463661194,0,20.0614109039,-34.9641742706,0
0,1,49,0,1.1463661194,1.1463661194,0,20.0614109039,-36.11054039,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,51,0,1.1463661194,1.1463661194,0,22.3541431427,-36.11054039,0
0,1,51,1,1.1463661194,1.1463661194,0,22.3541431427,-34.9641742706,0
0,1,50,1,1.1463661194,1.1463661194,0,21.2077770233,-34.9641742706,0
0,0,51,0,1.1463661194,1.1463661194,0,22.3541431427,-36.11054039,0
0,1,50,1,1.1463661194,1.1463661194,0,21.2077770233,-34.9641742706,0
